Effect,Final Variants,Similar Effects,German,Face Concerns,Face Concerns(near concept),Ingredients(near concept),Ingredients	
Absorbent,"absorptive, absorb",,,cellulite,cellulite condition,chlorophyll products,chlorophyll water
Plumping,"plumping, pump",,,dark circles,dark circles condition,chlorophyll products,chloroxygen pills
,,,,dark spot,dark spots condition,chlorophyll products,dry shampoo
,,,,ashy skin,dry skin condition,crystal products,amber
,,,,baby dry skin,dry skin condition,crystal products,amethyst
,,,,cracked heel,dry skin condition,crystal products,aquamarine
,,,,cracked heels,dry skin condition,crystal products,calcite
,,,,dehydrated skin,dry skin condition,crystal products,citrine
,,,,dry patches,dry skin condition,crystal products,crystal
,,,,dry skin,dry skin condition,crystal products,emerald
,,,,flaky skin,dry skin condition,crystal products,goldstone
,,,,allergic eczema,eczema condition,crystal products,green aventurine
,,,,anal eczema,eczema condition,crystal products,gypsum
,,,,asteatotic eczema,eczema condition,crystal products,jade
,,,,atopic dermatitis,eczema condition,crystal products,jade crystal
,,,,atopic dermatitis eczema,eczema condition,crystal products,lapis lazuli
,,,,baby eczema,eczema condition,crystal products,moonstone
,,,,breast eczema,eczema condition,crystal products,onyx
,,,,discoid eczema,eczema condition,crystal products,opal
,,,,dyshidrotic eczema,eczema condition,crystal products,quartz
,,,,eczema,eczema condition,crystal products,rose quartz
,,,,nummular eczema,eczema condition,crystal products,topaz
,,,,papular eczema,eczema condition,crystal products,turquoise
,,,,seborrheic dermatitis,eczema condition,essential oil products,abyssinian oil
,,,,stasis dermatitis,eczema condition,essential oil products,acacia oil
,,,,almond shaped eyes,eye condition,essential oil products,acai oil
,,,,deep set eyes,eye condition,essential oil products,agar oil
,,,,depuffing,eye condition,essential oil products,ajwain oil
,,,,double eyelid,eye condition,essential oil products,amyris oil
,,,,downturned eyes,eye condition,essential oil products,angelica root oil
,,,,dry eyebrow,eye condition,essential oil products,anise oil
,,,,eye swollen shut,eye condition,essential oil products,aphrodisiac essential oils
,,,,eyebags,eye condition,essential oil products,basil oil
,,,,eyebrow dandruff,eye condition,essential oil products,bay oil
,,,,eyelash mites,eye condition,essential oil products,bergamot oil
,,,,eyelid swelling,eye condition,essential oil products,birch oil
,,,,hooded eyelid,eye condition,essential oil products,black pepper oil
,,,,hooded eyes,eye condition,essential oil products,bois oil
,,,,mature eyes,eye condition,essential oil products,borage seed oil
,,,,puffy under eyes,eye condition,essential oil products,cajeput
,,,,sanpaku eyes,eye condition,essential oil products,calamus oil
,,,,stye,eye condition,essential oil products,camphor oil
,,,,sunken eyes,eye condition,essential oil products,caraway seed oil
,,,,under eye circles,eye condition,essential oil products,cardamom seed oil
,,,,under eye creases,eye condition,essential oil products,carrot seed oil
,,,,brown spots,hyperpigmentation condition,essential oil products,cedar oil
,,,,hyperpigmentation,hyperpigmentation condition,essential oil products,cedarwood oil
,,,,post inflammatory hyperpigmentation,hyperpigmentation condition,essential oil products,centaury oil
,,,,skin inflammation,inflammation condition,essential oil products,chamomile oil
,,,,chicken skin,keratosis pilaris condition,essential oil products,chocolate essential oil
,,,,keratosis pilaris,keratosis pilaris condition,essential oil products,cinnamon oil
,,,,melasma,melasma condition,essential oil products,cistus oil
,,,,milia,milia condition,essential oil products,citron oil
,,,,combination skin,oily skin condition,essential oil products,citronella oil
,,,,oily skin,oily skin condition,essential oil products,citrus oil
,,,,sebaceous filaments,oily skin condition,essential oil products,clary sage oil
,,,,pimple,pimple condition,essential oil products,clove oil
,,,,congested pores,pores condition,essential oil products,clover leaf oil
,,,,pores,pores condition,essential oil products,coffee seed oil
,,,,anal psoriasis,psoriasis condition,essential oil products,copaiba oil
,,,,chronic plaque psoriasis,psoriasis condition,essential oil products,coriander oil
,,,,psoriasis,psoriasis condition,essential oil products,cypress oil
,,,,keloids,scars condition,essential oil products,davana oil
,,,,scar,scars condition,essential oil products,earth fare oil
,,,,1st degree burn,skin condition,essential oil products,echinacea essential oil
,,,,blister,skin condition,essential oil products,echium plantagineum seed oil
,,,,blood spots,skin condition,essential oil products,elemi oil
,,,,blotchy skin,skin condition,essential oil products,essential oil
,,,,bumpy skin,skin condition,essential oil products,essential oil kits
,,,,burn marks,skin condition,essential oil products,essential oil patches
,,,,callus,skin condition,essential oil products,essential oil rollers
,,,,collagen loss,skin condition,essential oil products,eucalyptus citriodora oil
,,,,congested skin,skin condition,essential oil products,eucalyptus globulus leaf oil
,,,,crepey skin,skin condition,essential oil products,eucalyptus oil
,,,,dewy skin,skin condition,essential oil products,eucalyptus radiata leaf oil
,,,,dry skin patches,skin condition,essential oil products,evening primrose oil
,,,,dryness,skin condition,essential oil products,fennel seed oil
,,,,dull skin,skin condition,essential oil products,fenugreek oil
,,,,epidermolysis bullosa,skin condition,essential oil products,fir oil
,,,,facial flushing,skin condition,essential oil products,flaxseed oil
,,,,facial warts,skin condition,essential oil products,flower oil
,,,,fair skin,skin condition,essential oil products,frankincense essential oil
,,,,flushed cheeks,skin condition,essential oil products,frankincense oil
,,,,formication,skin condition,essential oil products,galbanum oil
,,,,hypersensitive skin,skin condition,essential oil products,geranium oil
,,,,impetigo,skin condition,essential oil products,ginger oil
,,,,ingrown hair,skin condition,essential oil products,ginseng oil
,,,,irritated skin,skin condition,essential oil products,goldenrod oil
,,,,itchy skin,skin condition,essential oil products,grapefruit oil
,,,,light skin,skin condition,essential oil products,grapefruit seed oil
,,,,lump,skin condition,essential oil products,grass oil
,,,,mature skin,skin condition,essential oil products,helianthus annuus seed oil
,,,,milk spots,skin condition,essential oil products,helichrysum oil
,,,,perioral dermatitis,skin condition,essential oil products,heliotrope essential oil
,,,,pityrosporum folliculitis,skin condition,essential oil products,herbal oil
,,,,pustules,skin condition,essential oil products,hyssop oil
,,,,radiation burns,skin condition,essential oil products,jasmine oil
,,,,rash,skin condition,essential oil products,jojoba oil
,,,,razor burn,skin condition,essential oil products,juniper oil
,,,,red mole,skin condition,essential oil products,kre oil
,,,,red spots,skin condition,essential oil products,laurel berry oil
,,,,redness on face,skin condition,essential oil products,lavandin oil
,,,,rosacea,skin condition,essential oil products,lavender oil
,,,,sebum plugs,skin condition,essential oil products,ledum oil
,,,,sensitive skin,skin condition,essential oil products,lemon balm oil
,,,,skin irritation,skin condition,essential oil products,lemon oil
,,,,skin microbiome,skin condition,essential oil products,lemon peel oil
,,,,skin mites,skin condition,essential oil products,lemongrass oil
,,,,skin peeling,skin condition,essential oil products,lime oil
,,,,skin purging,skin condition,essential oil products,linseed seed oil
,,,,skin tags,skin condition,essential oil products,litsea cubeba oil
,,,,skin undertones,skin condition,essential oil products,lupine oil
,,,,splotchy skin,skin condition,essential oil products,maca oil
,,,,stressed skin,skin condition,essential oil products,macadamia oil
,,,,sun damage,skin condition,essential oil products,magnesium essential oil
,,,,sun rash,skin condition,essential oil products,mandarin oil
,,,,thin skin,skin condition,essential oil products,marjoram oil
,,,,tinea versicolor,skin condition,essential oil products,marshmallow extract
,,,,uneven skin tone,skin condition,essential oil products,meadowfoam seed oil
,,,,complexion,skin discoloration condition,essential oil products,mentha arvensis oil
,,,,discolored skin patches,skin discoloration condition,essential oil products,miracell oil
,,,,hypopigmentation,skin discoloration condition,essential oil products,moringa oleifera oil
,,,,skin discoloration,skin discoloration condition,essential oil products,mountain savory oil
,,,,vitiligo,skin discoloration condition,essential oil products,mustard oil
,,,,pregnancy cream,stretch marks condition,essential oil products,myrrh oil
,,,,stretch mark,stretch marks condition,essential oil products,myrtle oil
,,,,stretch mark tattoo,stretch marks condition,essential oil products,neem oil
,,,,sun spots,sunspots condition,essential oil products,neroli oil
,,,,sunspots,sunspots condition,essential oil products,orange oil
,,,,white spots,white spots condition,essential oil products,orchid oil
,,,,,,essential oil products,oregano oil
,,,,,,essential oil products,orris oil
,,,,,,essential oil products,palo santo oil
,,,,,,essential oil products,parsley oil
,,,,,,essential oil products,patchouli oil
,,,,,,essential oil products,pcr oil
,,,,,,essential oil products,peppermint oil
,,,,,,essential oil products,petitgrain
,,,,,,essential oil products,petitgrain oil
,,,,,,essential oil products,pine oil
,,,,,,essential oil products,pink pepper essential oil
,,,,,,essential oil products,pomegranate oil
,,,,,,essential oil products,rapeseed oil
,,,,,,essential oil products,rosa damascena oil
,,,,,,essential oil products,rose hip seed oil
,,,,,,essential oil products,rose oil
,,,,,,essential oil products,rosehip oil
,,,,,,essential oil products,rosemary oil
,,,,,,essential oil products,rosewood oil
,,,,,,essential oil products,sacha inchi oil
,,,,,,essential oil products,sage leaf extract
,,,,,,essential oil products,sage oil
,,,,,,essential oil products,sandalwood oil
,,,,,,essential oil products,sassafras oil
,,,,,,essential oil products,savory oil
,,,,,,essential oil products,saw palmetto oil
,,,,,,essential oil products,sea buckthorn oil
,,,,,,essential oil products,seed oil
,,,,,,essential oil products,skullcap oil
,,,,,,essential oil products,spearmint oil
,,,,,,essential oil products,sunflower seed oil
,,,,,,essential oil products,tangerine oil
,,,,,,essential oil products,tarragon oil
,,,,,,essential oil products,tea tree oil
,,,,,,essential oil products,thieves oil
,,,,,,essential oil products,thyme oil
,,,,,,essential oil products,turmeric oil
,,,,,,essential oil products,valerian oil
,,,,,,essential oil products,verbena oil
,,,,,,essential oil products,vetiver oil
,,,,,,essential oil products,wintergreen oil
,,,,,,essential oil products,wood oil
,,,,,,essential oil products,yarrow oil
,,,,,,essential oil products,ylang ylang oil
,,,,,,essential oil products,yuzu oil
,,,,,,essential oil products,yuzu scent
,,,,,,"grains, nuts, beans & seeds products",acorn
,,,,,,"grains, nuts, beans & seeds products",adzuki bean
,,,,,,"grains, nuts, beans & seeds products",almond
,,,,,,"grains, nuts, beans & seeds products",annatto seed
,,,,,,"grains, nuts, beans & seeds products",bakuchiol
,,,,,,"grains, nuts, beans & seeds products",barley
,,,,,,"grains, nuts, beans & seeds products",black bean
,,,,,,"grains, nuts, beans & seeds products",bran
,,,,,,"grains, nuts, beans & seeds products",buckwheat
,,,,,,"grains, nuts, beans & seeds products",bulgur wheat
,,,,,,"grains, nuts, beans & seeds products",butter bean
,,,,,,"grains, nuts, beans & seeds products",cannellini bean
,,,,,,"grains, nuts, beans & seeds products",caraway seed
,,,,,,"grains, nuts, beans & seeds products",cashew
,,,,,,"grains, nuts, beans & seeds products",cereal
,,,,,,"grains, nuts, beans & seeds products",chebula
,,,,,,"grains, nuts, beans & seeds products",chia seed
,,,,,,"grains, nuts, beans & seeds products",chickpea
,,,,,,"grains, nuts, beans & seeds products",cocoa
,,,,,,"grains, nuts, beans & seeds products",cornmeal
,,,,,,"grains, nuts, beans & seeds products",corona bean
,,,,,,"grains, nuts, beans & seeds products",couscous
,,,,,,"grains, nuts, beans & seeds products",edamame
,,,,,,"grains, nuts, beans & seeds products",einkorn
,,,,,,"grains, nuts, beans & seeds products",fava bean
,,,,,,"grains, nuts, beans & seeds products",fermented rice water
,,,,,,"grains, nuts, beans & seeds products",flageolet bean
,,,,,,"grains, nuts, beans & seeds products",freekeh
,,,,,,"grains, nuts, beans & seeds products",garbanzo bean
,,,,,,"grains, nuts, beans & seeds products",garlic chives
,,,,,,"grains, nuts, beans & seeds products",hazelnut
,,,,,,"grains, nuts, beans & seeds products",hemp seed oil
,,,,,,"grains, nuts, beans & seeds products",hominy
,,,,,,"grains, nuts, beans & seeds products",kalonji
,,,,,,"grains, nuts, beans & seeds products",kidney bean
,,,,,,"grains, nuts, beans & seeds products",kola nut
,,,,,,"grains, nuts, beans & seeds products",lentil
,,,,,,"grains, nuts, beans & seeds products",lima bean
,,,,,,"grains, nuts, beans & seeds products",lupin
,,,,,,"grains, nuts, beans & seeds products",macadamia
,,,,,,"grains, nuts, beans & seeds products",mango seed
,,,,,,"grains, nuts, beans & seeds products",melon seed
,,,,,,"grains, nuts, beans & seeds products",millet
,,,,,,"grains, nuts, beans & seeds products",mustard seed
,,,,,,"grains, nuts, beans & seeds products",navy bean
,,,,,,"grains, nuts, beans & seeds products",oat
,,,,,,"grains, nuts, beans & seeds products",oat flour
,,,,,,"grains, nuts, beans & seeds products",oatmeal
,,,,,,"grains, nuts, beans & seeds products",pea protein
,,,,,,"grains, nuts, beans & seeds products",peanut
,,,,,,"grains, nuts, beans & seeds products",pecan
,,,,,,"grains, nuts, beans & seeds products",pili nuts
,,,,,,"grains, nuts, beans & seeds products",pine nut
,,,,,,"grains, nuts, beans & seeds products",pink bean
,,,,,,"grains, nuts, beans & seeds products",pinto bean
,,,,,,"grains, nuts, beans & seeds products",pistachio
,,,,,,"grains, nuts, beans & seeds products",pistachios
,,,,,,"grains, nuts, beans & seeds products",poppy seed
,,,,,,"grains, nuts, beans & seeds products",pumpkin seed
,,,,,,"grains, nuts, beans & seeds products",quinoa
,,,,,,"grains, nuts, beans & seeds products",red bean
,,,,,,"grains, nuts, beans & seeds products",red yeast rice
,,,,,,"grains, nuts, beans & seeds products",rice
,,,,,,"grains, nuts, beans & seeds products",rice protein
,,,,,,"grains, nuts, beans & seeds products",rice water
,,,,,,"grains, nuts, beans & seeds products",sesame seed
,,,,,,"grains, nuts, beans & seeds products",shea butter
,,,,,,"grains, nuts, beans & seeds products",snap peas
,,,,,,"grains, nuts, beans & seeds products",soy
,,,,,,"grains, nuts, beans & seeds products",soybeans
,,,,,,"grains, nuts, beans & seeds products",spelt
,,,,,,"grains, nuts, beans & seeds products",split peas
,,,,,,"grains, nuts, beans & seeds products",sunflower seed
,,,,,,"grains, nuts, beans & seeds products",tara gum
,,,,,,"grains, nuts, beans & seeds products",tepary bean
,,,,,,"grains, nuts, beans & seeds products",tonka bean
,,,,,,"grains, nuts, beans & seeds products",vanilla
,,,,,,"grains, nuts, beans & seeds products",velvet bean
,,,,,,"grains, nuts, beans & seeds products",walnut
,,,,,,"grains, nuts, beans & seeds products",wheat
,,,,,,herb/spice products,acmella oleracea
,,,,,,herb/spice products,adrenal extracts
,,,,,,herb/spice products,agastache
,,,,,,herb/spice products,ajwain
,,,,,,herb/spice products,angelica extract
,,,,,,herb/spice products,anise
,,,,,,herb/spice products,basil
,,,,,,herb/spice products,bay leaf
,,,,,,herb/spice products,black pepper
,,,,,,herb/spice products,boerhavia diffusa
,,,,,,herb/spice products,botanical extracts
,,,,,,herb/spice products,caraway
,,,,,,herb/spice products,cardamom
,,,,,,herb/spice products,cassia
,,,,,,herb/spice products,cayenne pepper
,,,,,,herb/spice products,centella asiatica
,,,,,,herb/spice products,chervil
,,,,,,herb/spice products,chicory
,,,,,,herb/spice products,cicely
,,,,,,herb/spice products,cilantro
,,,,,,herb/spice products,cinnamon
,,,,,,herb/spice products,clove
,,,,,,herb/spice products,coriander
,,,,,,herb/spice products,costmary
,,,,,,herb/spice products,cumin
,,,,,,herb/spice products,dan shen
,,,,,,herb/spice products,dill
,,,,,,herb/spice products,echinacea products
,,,,,,herb/spice products,fennel
,,,,,,herb/spice products,fennel seed
,,,,,,herb/spice products,fenugreek
,,,,,,herb/spice products,fu shen
,,,,,,herb/spice products,ginger
,,,,,,herb/spice products,ginkgo biloba
,,,,,,herb/spice products,grains of paradise
,,,,,,herb/spice products,grape extract
,,,,,,herb/spice products,gynostemma pentaphyllum leaf
,,,,,,herb/spice products,healing herbs
,,,,,,herb/spice products,horseradish
,,,,,,herb/spice products,hyssop
,,,,,,herb/spice products,ju hua
,,,,,,herb/spice products,juglans regia
,,,,,,herb/spice products,korean mint
,,,,,,herb/spice products,lemon verbena
,,,,,,herb/spice products,lovage
,,,,,,herb/spice products,marigold
,,,,,,herb/spice products,marjoram
,,,,,,herb/spice products,marshmallow root
,,,,,,herb/spice products,melissa leaf
,,,,,,herb/spice products,neem
,,,,,,herb/spice products,noni
,,,,,,herb/spice products,nutmeg
,,,,,,herb/spice products,oregano
,,,,,,herb/spice products,paprika
,,,,,,herb/spice products,parsley
,,,,,,herb/spice products,phellinus linteus
,,,,,,herb/spice products,polygala
,,,,,,herb/spice products,pumpkin spice
,,,,,,herb/spice products,quillaja saponin
,,,,,,herb/spice products,saffron
,,,,,,herb/spice products,sage
,,,,,,herb/spice products,salvia root
,,,,,,herb/spice products,sang hwang mushroom
,,,,,,herb/spice products,shi chang pu
,,,,,,herb/spice products,silymarin
,,,,,,herb/spice products,sorrel
,,,,,,herb/spice products,st john's wort oil
,,,,,,herb/spice products,tarragon
,,,,,,herb/spice products,thyme
,,,,,,herb/spice products,usnea lichen
,,,,,,herb/spice products,valerian
,,,,,,herb/spice products,valerian root
,,,,,,herb/spice products,yuan zhi
,,,,,,herb/spice products,zizyphus
,,,,,,mineral products,clay
,,,,,,mineral products,dead sea clay
,,,,,,mineral products,green clay
,,,,,,mineral products,kaolin clay
,,,,,,mineral products,moroccan clay
,,,,,,oil products,almond oil
,,,,,,oil products,amber oil
,,,,,,oil products,apricot kernel oil
,,,,,,oil products,argan oil
,,,,,,oil products,avocado oil
,,,,,,oil products,ayurvedic oil
,,,,,,oil products,babassu oil
,,,,,,oil products,black currant oil
,,,,,,oil products,black seed oil
,,,,,,oil products,blueberry seed oil
,,,,,,oil products,camelina oil
,,,,,,oil products,camellia oil
,,,,,,oil products,canola oil
,,,,,,oil products,carrot oil
,,,,,,oil products,cassia oil
,,,,,,oil products,castile oil
,,,,,,oil products,castor oil
,,,,,,oil products,cherry oil
,,,,,,oil products,chia oil
,,,,,,oil products,coconut oil
,,,,,,oil products,corn oil
,,,,,,oil products,cosmetic oil
,,,,,,oil products,cottonseed oil
,,,,,,oil products,cranberry seed oil
,,,,,,oil products,croton oil
,,,,,,oil products,cucumber seed oil
,,,,,,oil products,cumin oil
,,,,,,oil products,emu oil
,,,,,,oil products,fermented oil
,,,,,,oil products,fractionated coconut oil
,,,,,,oil products,grapeseed oil
,,,,,,oil products,hazelnut oil
,,,,,,oil products,hydrogenated olive oil
,,,,,,oil products,hydrogenated soybean oil
,,,,,,oil products,karanja oil
,,,,,,oil products,kiwi oil
,,,,,,oil products,lanolin oil
,,,,,,oil products,linseed oil
,,,,,,oil products,maracuja oil
,,,,,,oil products,marrakesh oil
,,,,,,oil products,marula oil
,,,,,,oil products,mineral oil
,,,,,,oil products,mink oil
,,,,,,oil products,mongongo oil
,,,,,,oil products,monoi
,,,,,,oil products,musk oil
,,,,,,oil products,oat oil
,,,,,,oil products,olive oil
,,,,,,oil products,olus oil
,,,,,,oil products,onion oil
,,,,,,oil products,palm oil
,,,,,,oil products,palmarosa oil
,,,,,,oil products,peanut oil
,,,,,,oil products,pequi oil
,,,,,,oil products,plum oil
,,,,,,oil products,poppy oil
,,,,,,oil products,pracaxi oil
,,,,,,oil products,pumpkin seed oil
,,,,,,oil products,safflower oil
,,,,,,oil products,sesame seed oil
,,,,,,oil products,shea oil
,,,,,,oil products,siberian pine nut oil
,,,,,,oil products,soy oil
,,,,,,oil products,soybean oil
,,,,,,oil products,spikenard oil
,,,,,,oil products,sunflower oil
,,,,,,oil products,tamanu oil
,,,,,,oil products,tansy oil
,,,,,,oil products,tsubaki oil
,,,,,,oil products,tung oil
,,,,,,oil products,vanilla oil
,,,,,,oil products,vegetable oil
,,,,,,oil products,walnut oil
,,,,,,oil products,watermelon seed oil
,,,,,,omega oils,algae dha
,,,,,,omega oils,algae oil
,,,,,,omega oils,cod liver oil
,,,,,,omega oils,digestive enzyme
,,,,,,omega oils,fish liver oil
,,,,,,omega oils,fish oil
,,,,,,omega oils,glucosamine
,,,,,,omega oils,glucosamine chondroitin
,,,,,,omega oils,krill oil
,,,,,,omega oils,mct oil
,,,,,,omega oils,omega
,,,,,,omega oils,omega 3
,,,,,,omega oils,omega 369
,,,,,,omega oils,pure epa
,,,,,,omega oils,salmon oil
,,,,,,plant products,abaca leaf
,,,,,,plant products,acacia
,,,,,,plant products,acai sterols
,,,,,,plant products,acerola extract
,,,,,,plant products,actaea racemosa
,,,,,,plant products,adaptogenic mushroom
,,,,,,plant products,aesculus hippocastanum seed extract
,,,,,,plant products,agarose
,,,,,,plant products,agave oil
,,,,,,plant products,ahnfeltia concinna extract
,,,,,,plant products,ahnfeltia extract
,,,,,,plant products,ahnfeltiopsis concinna extract
,,,,,,plant products,alaria esculenta
,,,,,,plant products,alfalfa extract
,,,,,,plant products,algae
,,,,,,plant products,algae extract
,,,,,,plant products,almond glycerides
,,,,,,plant products,aloe barbadensis
,,,,,,plant products,alpha hydroxy acid
,,,,,,plant products,althaea rosea
,,,,,,plant products,amaranth
,,,,,,plant products,amber extract
,,,,,,plant products,amyris
,,,,,,plant products,anacyclus pyrethrum
,,,,,,plant products,anastatica hierochuntica extract
,,,,,,plant products,andiroba
,,,,,,plant products,annatto
,,,,,,plant products,anthemis nobilis flower extract
,,,,,,plant products,apple fruit extract
,,,,,,plant products,apricot kernel
,,,,,,plant products,arabinogalactan
,,,,,,plant products,arabinoxylan
,,,,,,plant products,arachis
,,,,,,plant products,arborvitae
,,,,,,plant products,arctium lappa root extract
,,,,,,plant products,arctium majus
,,,,,,plant products,arctostaphylos uva ursi leaf
,,,,,,plant products,arctostaphylos uva-ursi leaf extract
,,,,,,plant products,argan
,,,,,,plant products,argania spinosa
,,,,,,plant products,arnica
,,,,,,plant products,arrowroot
,,,,,,plant products,artemisia absinthium extract
,,,,,,plant products,ascophyllum nodosum
,,,,,,plant products,asparagopsis armata extract
